"date","plan","mrr"
2017-01-04,"business",522887.8791
2017-01-03,"awesome",543619.61
2017-01-03,"business",522038.9628
2017-01-03,"respond",6808.055
2017-01-02,"awesome",543270.87
2017-01-02,"respond",6749.055
2017-01-02,"business",521252.6296
2017-01-01,"business",521558.963
2017-01-01,"respond",6749.055
2017-01-01,"awesome",543579.95
2016-12-31,"business",521160.3797
2016-12-31,"awesome",543585.99
2016-12-31,"respond",6749.055
2016-12-30,"awesome",543485.76
2016-12-30,"respond",6808.055
2016-12-30,"business",521573.0465
2016-12-29,"respond",6808.055
2016-12-29,"business",520377.2966
2016-12-29,"awesome",543401.16
2016-12-28,"awesome",543319.96
2016-12-28,"respond",6808.055
2016-12-28,"business",521216.5467
2016-12-27,"awesome",543326.94
2016-12-27,"respond",6867.055
2016-12-27,"business",520724.2135
2016-12-26,"awesome",543623.79
2016-12-26,"respond",6858.055
2016-12-26,"business",520547.8705
2016-12-25,"awesome",544341.29
2016-12-25,"business",521019.8805
2016-12-25,"respond",6858.055
2016-12-24,"business",521044.3905
2016-12-24,"awesome",544863.9
2016-12-24,"respond",6858.055
2016-12-23,"business",521350.7239
2016-12-23,"respond",6858.055
2016-12-23,"awesome",545025.2
2016-12-22,"respond",6733.565
2016-12-22,"awesome",544721.95
2016-12-22,"business",521330.6309
2016-12-21,"business",521148.1211
2016-12-21,"awesome",544281.91
2016-12-21,"respond",6704.565
2016-12-20,"business",518987.0282
2016-12-20,"awesome",543694.03
2016-12-20,"respond",6127.565
2016-12-19,"business",517032.6951
2016-12-19,"respond",6127.565
2016-12-19,"awesome",543366.89
2016-12-18,"business",517306.0285
2016-12-18,"respond",5907.565
2016-12-18,"awesome",543618.93
2016-12-17,"business",517742.9551
2016-12-17,"awesome",544187.88
2016-12-17,"respond",5907.565
2016-12-16,"respond",5468.365
2016-12-16,"business",517677.8619
2016-12-16,"awesome",544108.49
2016-12-15,"awesome",543796.84
2016-12-15,"respond",5406.375
2016-12-15,"business",516455.352
2016-12-14,"respond",5406.375
2016-12-14,"awesome",543412.33
2016-12-14,"business",515571.519
2016-12-13,"respond",5406.375
2016-12-13,"business",515170.4357
2016-12-13,"awesome",542921.6
2016-12-12,"business",513616.9359
2016-12-12,"respond",5406.375
2016-12-12,"awesome",542426.91
2016-12-11,"awesome",542712.36
2016-12-11,"business",514435.9359
2016-12-11,"respond",5406.375
2016-12-10,"business",515103.9359
2016-12-10,"awesome",543087.65
2016-12-10,"respond",5415.375
2016-12-09,"business",515238.4359
2016-12-09,"awesome",542734.15
2016-12-09,"respond",5710.125
2016-12-08,"respond",5710.125
2016-12-08,"awesome",542155.9
2016-12-08,"business",513796.9361
2016-12-07,"business",511891.2064
2016-12-07,"respond",5655.925
2016-12-07,"awesome",541687.9
2016-12-06,"respond",5655.925
2016-12-06,"business",510470.2164
2016-12-06,"awesome",540765.63
2016-12-05,"business",508216.3931
2016-12-05,"awesome",539838.79
2016-12-05,"respond",5686.415
2016-12-04,"awesome",539869.69
2016-12-04,"business",510071.8931
2016-12-04,"respond",5686.415
2016-12-03,"awesome",540092.36
2016-12-03,"respond",5695.415
2016-12-03,"business",510204.3931
2016-12-02,"business",509464.9032
2016-12-02,"awesome",539883.93
2016-12-02,"respond",5636.415
2016-12-01,"respond",5636.415
2016-12-01,"business",507946.737
2016-12-01,"awesome",539374.48
2016-11-30,"respond",5425.425
2016-11-30,"business",508192.3406
2016-11-30,"awesome",539703.06
2016-11-29,"respond",5366.425
2016-11-29,"business",508161.4976
2016-11-29,"awesome",539090.14
2016-11-28,"awesome",538013.63
2016-11-28,"respond",5337.425
2016-11-28,"business",506527.1644
2016-11-27,"business",507497.6644
2016-11-27,"awesome",538111.97
2016-11-27,"respond",5337.425
2016-11-26,"business",508410.3944
2016-11-26,"respond",5328.425
2016-11-26,"awesome",538281.43
2016-11-25,"business",508629.0612
2016-11-25,"respond",4970.425
2016-11-25,"awesome",538196.19
2016-11-24,"respond",4970.425
2016-11-24,"awesome",538067.31
2016-11-24,"business",509026.3113
2016-11-23,"awesome",537661.05
2016-11-23,"respond",4970.425
2016-11-23,"business",508557.0516
2016-11-22,"awesome",536922.74
2016-11-22,"respond",4979.425
2016-11-22,"business",508715.3117
2016-11-21,"business",507331.3218
2016-11-21,"respond",4979.425
2016-11-21,"awesome",536094.93
2016-11-20,"awesome",536201.11
2016-11-20,"respond",4979.425
2016-11-20,"business",508014.1552
2016-11-19,"respond",4979.425
2016-11-19,"awesome",536648.69
2016-11-19,"business",508308.322
2016-11-18,"respond",4888.925
2016-11-18,"business",507189.7489
2016-11-18,"awesome",536535.77
2016-11-17,"business",506644.8124
2016-11-17,"respond",4888.925
2016-11-17,"awesome",535837.06
2016-11-16,"business",505406.3326
2016-11-16,"awesome",535021.32
2016-11-16,"respond",4888.925
2016-11-15,"respond",4578.925
2016-11-15,"awesome",534187.11
2016-11-15,"business",503951.353
2016-11-14,"business",502742.5198
2016-11-14,"awesome",533450.86
2016-11-14,"respond",4927.925
2016-11-13,"respond",4946.925
2016-11-13,"business",503143.7698
2016-11-13,"awesome",533800.33
2016-11-12,"respond",4946.925
2016-11-12,"awesome",534011.15
2016-11-12,"business",503790.6032
